,str_id,src,dst,road,direction,dist
270,1010007700,명동성당,퇴계로2가,삼일대로,상행,403
271,1010007800,퇴계로2가,명동성당,삼일대로,하행,405
272,1010007900,중구청,퇴계로4가,창경궁로,하행,229
273,1010008100,광희동사거리,퇴계로5가,퇴계로,하행,420
274,1010008200,퇴계로5가,광희동사거리,퇴계로,상행,419
275,1010008400,시청역,웨스턴조선호텔,세종대로18길,상행,221
276,1010008700,오장동사거리,퇴계로5가,동호로,상행,155
277,1010008800,퇴계로5가,오장동사거리,동호로,하행,155
278,1010008900,서대문역,경찰청앞,통일로,하행,497
279,1010009000,경찰청앞,서대문역,통일로,상행,501
280,1010009100,웨스턴조선호텔,명동입구,남대문로7길,상행,246
281,1010009200,명동입구,웨스턴조선호텔,남대문로7길,하행,250
282,1010009300,명보사거리,중구청,마른내로,하행,485
283,1010009400,중구청,명보사거리,마른내로,상행,485
284,1010009500,서울프라자호텔,웨스턴조선호텔,소공로,상행,137
285,1010009600,웨스턴조선호텔,서울프라자호텔,소공로,하행,137
286,1010009700,중부경찰서앞,명보사거리,마른내로,하행,261
287,1010009800,명보사거리,중부경찰서앞,마른내로,상행,259
288,1010009900,덕수궁,시청역,세종대로,상행,104
289,1010010000,시청역,덕수궁,세종대로,하행,108
290,1010010100,오장동사거리,중구청,마른내로,상행,365
291,1010010200,중구청,오장동사거리,마른내로,하행,365
292,1010010300,한양공고앞,광희동사거리,퇴계로,하행,394
293,1010010400,광희동사거리,한양공고앞,퇴계로,상행,395
294,1010010500,오장동사거리,광희동사거리,마른내로,하행,428
295,1010010600,광희동사거리,오장동사거리,마른내로,상행,437
296,1010010700,중부경찰서앞,명동성당,마른내로,상행,213
297,1010010800,명동성당,중부경찰서앞,마른내로,하행,214
298,1010011100,덕수궁,서울프라자호텔,소공로,상행,113
299,1010011200,서울프라자호텔,덕수궁,소공로,하행,113
300,1010011300,을지로1가,명동입구,남대문로,상행,270
301,1010011400,명동입구,을지로1가,남대문로,하행,271
302,1010011500,동대문역사문화공원입구,한양공고앞,을지로,상행,152
303,1010011600,한양공고앞,동대문역사문화공원입구,을지로,하행,172
304,1010011700,신당역,한양공고앞,퇴계로,하행,413
305,1010011800,한양공고앞,신당역,퇴계로,상행,414
306,1010011900,동대문역사문화공원역,광희동사거리,장충단로,하행,210
307,1010012000,광희동사거리,동대문역사문화공원역,장충단로,상행,210
308,1010012200,명보사거리,을지로3가,충무로,상행,225
309,1010012300,을지로2가,명동성당,삼일대로,상행,170
310,1010012400,명동성당,을지로2가,삼일대로,하행,170
311,1010012500,시청앞광장,서울프라자호텔,을지로,하행,126
312,1010012600,서울프라자호텔,시청앞광장,을지로,상행,126
313,1010012700,을지로4가,중구청,창경궁로,하행,256
314,1010012900,을지로3가역,중부경찰서앞,수표로,상행,154
315,1010013000,중부경찰서앞,을지로3가역,수표로,하행,157
316,1010013100,신당역,도로교통공단,퇴계로,상행,662
317,1010013200,도로교통공단,신당역,퇴계로,하행,666
318,1010013300,동대문역사문화공원역,동대문역사문화공원입구,을지로,상행,184
319,1010013400,동대문역사문화공원입구,동대문역사문화공원역,을지로,하행,185
